Sample in Buffer,Sample in Window,TRIGGER,tsm_I_1[11:0],tsm_Q_1[11:0],tsm_I[11:0],tsm_Q[11:0],rev_I[11:0],rev_Q[11:0],rev_valid_1,rev_valid_2,rev_valid_3,rev_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX
0,0,0,ffe,7fe,ffe,7fe,1347,1089,1,1,1,1
1,1,0,ffe,7fe,ffe,7fe,95,680,1,1,1,1
2,2,0,802,ffe,802,ffe,-676,-78,1,1,1,1
3,3,0,002,802,002,802,-1436,-938,1,1,1,1
4,4,0,002,802,002,802,-1587,-1312,1,1,1,1
5,5,0,7fe,002,7fe,002,-1232,-331,1,1,1,1
6,6,0,7fe,002,7fe,002,-1086,344,1,1,1,1
7,7,0,ffe,7fe,ffe,7fe,-1380,-624,1,1,1,1
8,8,0,ffe,7fe,ffe,7fe,-1226,-1394,1,1,1,1
9,9,0,802,ffe,802,ffe,745,-333,1,1,1,1
10,10,0,802,ffe,802,ffe,2047,729,1,1,1,1
11,11,0,002,802,002,802,1355,1115,1,1,1,1
12,12,0,002,802,002,802,76,636,1,1,1,1
13,13,0,7fe,002,7fe,002,-710,92,1,1,1,1
14,14,0,7fe,002,7fe,002,-1223,-37,1,1,1,1
15,15,0,ffe,7fe,ffe,7fe,-1462,-697,1,1,1,1
16,16,0,ffe,7fe,ffe,7fe,-1196,-1341,1,1,1,1
17,17,0,802,ffe,802,ffe,639,-179,1,1,1,1
18,18,0,002,802,002,802,1484,1346,1,1,1,1
19,19,0,002,802,002,802,337,906,1,1,1,1
20,20,0,802,ffe,802,ffe,-776,-39,1,1,1,1
21,21,0,802,ffe,802,ffe,-1264,-56,1,1,1,1
22,22,0,002,802,002,802,-1452,-679,1,1,1,1
23,23,0,002,802,002,802,-1200,-1319,1,1,1,1
24,24,0,7fe,002,7fe,002,764,-345,1,1,1,1
25,25,0,7fe,002,7fe,002,2047,702,1,1,1,1
26,26,0,ffe,7fe,ffe,7fe,1322,1122,1,1,1,1
27,27,0,ffe,7fe,ffe,7fe,68,663,1,1,1,1
28,28,0,802,ffe,802,ffe,-704,62,1,1,1,1
29,29,0,802,ffe,802,ffe,-1227,-31,1,1,1,1
30,30,0,002,802,002,802,-1442,-694,1,1,1,1
31,31,0,002,802,002,802,-1201,-1361,1,1,1,1
32,32,0,7fe,002,7fe,002,613,-186,1,1,1,1
33,33,0,ffe,7fe,ffe,7fe,1497,1368,1,1,1,1
34,34,0,ffe,7fe,ffe,7fe,615,799,1,1,1,1
35,35,0,802,ffe,802,ffe,1198,-582,1,1,1,1
36,36,0,802,ffe,802,ffe,2047,-221,1,1,1,1
37,37,0,002,802,002,802,1282,1068,1,1,1,1
38,38,0,002,802,002,802,131,850,1,1,1,1
39,39,0,7fe,002,7fe,002,-689,31,1,1,1,1
40,40,0,7fe,002,7fe,002,-1273,-39,1,1,1,1
41,41,0,ffe,7fe,ffe,7fe,-1458,-665,1,1,1,1
42,42,0,ffe,7fe,ffe,7fe,-1175,-1321,1,1,1,1
43,43,0,802,ffe,802,ffe,750,-347,1,1,1,1
44,44,0,802,ffe,802,ffe,2047,730,1,1,1,1
45,45,0,002,802,002,802,1337,1101,1,1,1,1
46,46,0,002,802,002,802,64,690,1,1,1,1
47,47,0,7fe,002,7fe,002,-657,-71,1,1,1,1
48,48,0,ffe,7fe,ffe,7fe,-1473,-930,1,1,1,1
49,49,0,ffe,7fe,ffe,7fe,-1289,-1326,1,1,1,1
50,50,0,7fe,002,7fe,002,790,-322,1,1,1,1
51,51,0,7fe,002,7fe,002,2047,735,1,1,1,1
52,52,0,ffe,7fe,ffe,7fe,1333,1083,1,1,1,1
53,53,0,ffe,7fe,ffe,7fe,71,666,1,1,1,1
54,54,0,802,ffe,802,ffe,-698,86,1,1,1,1
55,55,0,802,ffe,802,ffe,-1244,-37,1,1,1,1
56,56,0,002,802,002,802,-1461,-699,1,1,1,1
57,57,0,002,802,002,802,-1163,-1303,1,1,1,1
58,58,0,7fe,002,7fe,002,746,-361,1,1,1,1
59,59,0,7fe,002,7fe,002,2047,731,1,1,1,1
60,60,0,ffe,7fe,ffe,7fe,1344,1096,1,1,1,1
61,61,0,ffe,7fe,ffe,7fe,100,684,1,1,1,1
62,62,0,802,ffe,802,ffe,-678,-78,1,1,1,1
63,63,0,002,802,002,802,-1427,-925,1,1,1,1
64,64,0,002,802,002,802,-1582,-1323,1,1,1,1
65,65,0,7fe,002,7fe,002,-1250,-360,1,1,1,1
66,66,0,7fe,002,7fe,002,-1075,380,1,1,1,1
67,67,0,ffe,7fe,ffe,7fe,-1377,-633,1,1,1,1
68,68,0,ffe,7fe,ffe,7fe,-1255,-1400,1,1,1,1
69,69,0,802,ffe,802,ffe,757,-350,1,1,1,1
70,70,0,802,ffe,802,ffe,2047,751,1,1,1,1
71,71,0,002,802,002,802,1356,1060,1,1,1,1
72,72,0,002,802,002,802,62,709,1,1,1,1
73,73,0,7fe,002,7fe,002,-670,83,1,1,1,1
74,74,0,7fe,002,7fe,002,-1218,-47,1,1,1,1
75,75,0,ffe,7fe,ffe,7fe,-1473,-685,1,1,1,1
76,76,0,ffe,7fe,ffe,7fe,-1139,-1360,1,1,1,1
77,77,0,802,ffe,802,ffe,598,-207,1,1,1,1
78,78,0,002,802,002,802,1471,1386,1,1,1,1
79,79,0,002,802,002,802,375,918,1,1,1,1
80,80,0,802,ffe,802,ffe,-799,-24,1,1,1,1
81,81,0,802,ffe,802,ffe,-1240,-66,1,1,1,1
82,82,0,002,802,002,802,-1435,-675,1,1,1,1
83,83,0,002,802,002,802,-1207,-1319,1,1,1,1
84,84,0,7fe,002,7fe,002,747,-368,1,1,1,1
85,85,0,7fe,002,7fe,002,2047,708,1,1,1,1
86,86,0,ffe,7fe,ffe,7fe,1315,1095,1,1,1,1
87,87,0,ffe,7fe,ffe,7fe,89,657,1,1,1,1
88,88,0,802,ffe,802,ffe,-669,81,1,1,1,1
89,89,0,802,ffe,802,ffe,-1219,-39,1,1,1,1
90,90,0,002,802,002,802,-1471,-706,1,1,1,1
91,91,0,002,802,002,802,-1190,-1329,1,1,1,1
92,92,0,7fe,002,7fe,002,633,-193,1,1,1,1
93,93,0,ffe,7fe,ffe,7fe,1488,1357,1,1,1,1
94,94,0,ffe,7fe,ffe,7fe,629,828,1,1,1,1
95,95,0,802,ffe,802,ffe,1185,-586,1,1,1,1
96,96,0,802,ffe,802,ffe,2047,-249,1,1,1,1
97,97,0,002,802,002,802,1301,1112,1,1,1,1
98,98,0,002,802,002,802,128,820,1,1,1,1
99,99,0,7fe,002,7fe,002,-697,15,1,1,1,1
100,100,0,7fe,002,7fe,002,-1221,-49,1,1,1,1
101,101,0,ffe,7fe,ffe,7fe,-1457,-701,1,1,1,1
102,102,0,ffe,7fe,ffe,7fe,-1207,-1327,1,1,1,1
103,103,0,802,ffe,802,ffe,772,-356,1,1,1,1
104,104,0,802,ffe,802,ffe,2047,729,1,1,1,1
105,105,0,002,802,002,802,1320,1088,1,1,1,1
106,106,0,002,802,002,802,94,685,1,1,1,1
107,107,0,7fe,002,7fe,002,-638,-53,1,1,1,1
108,108,0,ffe,7fe,ffe,7fe,-1471,-961,1,1,1,1
109,109,0,ffe,7fe,ffe,7fe,-1313,-1308,1,1,1,1
110,110,0,7fe,002,7fe,002,803,-294,1,1,1,1
111,111,0,7fe,002,7fe,002,2047,699,1,1,1,1
112,112,0,ffe,7fe,ffe,7fe,1322,1098,1,1,1,1
113,113,0,ffe,7fe,ffe,7fe,109,657,1,1,1,1
114,114,0,802,ffe,802,ffe,-700,68,1,1,1,1
115,115,0,802,ffe,802,ffe,-1223,-26,1,1,1,1
116,116,0,002,802,002,802,-1455,-715,1,1,1,1
117,117,0,002,802,002,802,-1201,-1320,1,1,1,1
118,118,0,7fe,002,7fe,002,771,-365,1,1,1,1
119,119,0,7fe,002,7fe,002,2047,745,1,1,1,1
120,120,0,ffe,7fe,ffe,7fe,1332,1077,1,1,1,1
121,121,0,ffe,7fe,ffe,7fe,112,662,1,1,1,1
122,122,0,802,ffe,802,ffe,-654,-52,1,1,1,1
123,123,0,002,802,002,802,-1435,-935,1,1,1,1
124,124,0,002,802,002,802,-1596,-1351,1,1,1,1
125,125,0,7fe,002,7fe,002,-1179,-316,1,1,1,1
126,126,0,7fe,002,7fe,002,-1112,335,1,1,1,1
127,127,0,ffe,7fe,ffe,7fe,-1368,-629,1,1,1,1
128,128,0,ffe,7fe,ffe,7fe,-1231,-1429,1,1,1,1
129,129,0,802,ffe,802,ffe,761,-336,1,1,1,1
130,130,0,802,ffe,802,ffe,2047,722,1,1,1,1
131,131,0,002,802,002,802,1350,1101,1,1,1,1
132,132,0,002,802,002,802,77,665,1,1,1,1
133,133,0,7fe,002,7fe,002,-710,64,1,1,1,1
134,134,0,7fe,002,7fe,002,-1213,-28,1,1,1,1
135,135,0,ffe,7fe,ffe,7fe,-1467,-679,1,1,1,1
136,136,0,ffe,7fe,ffe,7fe,-1200,-1362,1,1,1,1
137,137,0,802,ffe,802,ffe,634,-188,1,1,1,1
138,138,0,002,802,002,802,1487,1376,1,1,1,1
139,139,0,002,802,002,802,330,892,1,1,1,1
140,140,0,802,ffe,802,ffe,-764,-22,1,1,1,1
141,141,0,802,ffe,802,ffe,-1249,-43,1,1,1,1
142,142,0,002,802,002,802,-1444,-686,1,1,1,1
143,143,0,002,802,002,802,-1172,-1320,1,1,1,1
144,144,0,7fe,002,7fe,002,790,-331,1,1,1,1
145,145,0,7fe,002,7fe,002,2047,701,1,1,1,1
146,146,0,ffe,7fe,ffe,7fe,1342,1114,1,1,1,1
147,147,0,ffe,7fe,ffe,7fe,97,661,1,1,1,1
148,148,0,802,ffe,802,ffe,-715,65,1,1,1,1
149,149,0,802,ffe,802,ffe,-1203,-37,1,1,1,1
150,150,0,002,802,002,802,-1444,-693,1,1,1,1
151,151,0,002,802,002,802,-1211,-1327,1,1,1,1
152,152,0,7fe,002,7fe,002,657,-217,1,1,1,1
153,153,0,ffe,7fe,ffe,7fe,1477,1379,1,1,1,1
154,154,0,ffe,7fe,ffe,7fe,611,819,1,1,1,1
155,155,0,802,ffe,802,ffe,1195,-602,1,1,1,1
156,156,0,802,ffe,802,ffe,2047,-216,1,1,1,1
157,157,0,002,802,002,802,1295,1098,1,1,1,1
158,158,0,002,802,002,802,129,812,1,1,1,1
159,159,0,7fe,002,7fe,002,-679,38,1,1,1,1
160,160,0,7fe,002,7fe,002,-1237,-12,1,1,1,1
161,161,0,ffe,7fe,ffe,7fe,-1455,-701,1,1,1,1
162,162,0,ffe,7fe,ffe,7fe,-1198,-1314,1,1,1,1
163,163,0,802,ffe,802,ffe,774,-349,1,1,1,1
164,164,0,802,ffe,802,ffe,2047,700,1,1,1,1
165,165,0,002,802,002,802,1334,1095,1,1,1,1
166,166,0,002,802,002,802,87,683,1,1,1,1
167,167,0,7fe,002,7fe,002,-655,-84,1,1,1,1
168,168,0,ffe,7fe,ffe,7fe,-1480,-941,1,1,1,1
169,169,0,ffe,7fe,ffe,7fe,-1292,-1318,1,1,1,1
170,170,0,7fe,002,7fe,002,786,-303,1,1,1,1
171,171,0,7fe,002,7fe,002,2047,712,1,1,1,1
172,172,0,ffe,7fe,ffe,7fe,1334,1101,1,1,1,1
173,173,0,ffe,7fe,ffe,7fe,77,667,1,1,1,1
174,174,0,802,ffe,802,ffe,-688,74,1,1,1,1
175,175,0,802,ffe,802,ffe,-1215,4,1,1,1,1
176,176,0,002,802,002,802,-1430,-708,1,1,1,1
177,177,0,002,802,002,802,-1189,-1331,1,1,1,1
178,178,0,7fe,002,7fe,002,763,-334,1,1,1,1
179,179,0,7fe,002,7fe,002,2047,720,1,1,1,1
180,180,0,ffe,7fe,ffe,7fe,1327,1102,1,1,1,1
181,181,0,ffe,7fe,ffe,7fe,120,676,1,1,1,1
182,182,0,802,ffe,802,ffe,-683,-64,1,1,1,1
183,183,0,002,802,002,802,-1426,-928,1,1,1,1
184,184,0,002,802,002,802,-1554,-1329,1,1,1,1
185,185,0,7fe,002,7fe,002,-1249,-325,1,1,1,1
186,186,0,7fe,002,7fe,002,-1065,347,1,1,1,1
187,187,0,ffe,7fe,ffe,7fe,-1385,-635,1,1,1,1
188,188,0,ffe,7fe,ffe,7fe,-1233,-1393,1,1,1,1
189,189,0,802,ffe,802,ffe,767,-368,1,1,1,1
190,190,0,802,ffe,802,ffe,2047,752,1,1,1,1
191,191,0,002,802,002,802,1363,1112,1,1,1,1
192,192,0,002,802,002,802,69,650,1,1,1,1
193,193,0,7fe,002,7fe,002,-710,77,1,1,1,1
194,194,0,7fe,002,7fe,002,-1210,-37,1,1,1,1
195,195,0,ffe,7fe,ffe,7fe,-1458,-694,1,1,1,1
196,196,0,ffe,7fe,ffe,7fe,-1191,-1331,1,1,1,1
197,197,0,802,ffe,802,ffe,625,-196,1,1,1,1
198,198,0,002,802,002,802,1468,1385,1,1,1,1
199,199,0,002,802,002,802,352,892,1,1,1,1
200,200,0,802,ffe,802,ffe,-780,-38,1,1,1,1
201,201,0,802,ffe,802,ffe,-1247,-38,1,1,1,1
202,202,0,002,802,002,802,-1438,-693,1,1,1,1
203,203,0,002,802,002,802,-1219,-1306,1,1,1,1
204,204,0,7fe,002,7fe,002,779,-348,1,1,1,1
205,205,0,7fe,002,7fe,002,2047,731,1,1,1,1
206,206,0,ffe,7fe,ffe,7fe,1320,1103,1,1,1,1
207,207,0,ffe,7fe,ffe,7fe,78,666,1,1,1,1
208,208,0,802,ffe,802,ffe,-702,63,1,1,1,1
209,209,0,802,ffe,802,ffe,-1241,-32,1,1,1,1
210,210,0,002,802,002,802,-1447,-691,1,1,1,1
211,211,0,002,802,002,802,-1210,-1328,1,1,1,1
212,212,0,7fe,002,7fe,002,645,-191,1,1,1,1
213,213,0,ffe,7fe,ffe,7fe,1489,1372,1,1,1,1
214,214,0,ffe,7fe,ffe,7fe,622,826,1,1,1,1
215,215,0,802,ffe,802,ffe,1194,-610,1,1,1,1
216,216,0,802,ffe,802,ffe,2047,-222,1,1,1,1
217,217,0,002,802,002,802,1308,1096,1,1,1,1
218,218,0,002,802,002,802,139,839,1,1,1,1
219,219,0,7fe,002,7fe,002,-696,39,1,1,1,1
220,220,0,7fe,002,7fe,002,-1246,-13,1,1,1,1
221,221,0,ffe,7fe,ffe,7fe,-1444,-708,1,1,1,1
222,222,0,ffe,7fe,ffe,7fe,-1184,-1329,1,1,1,1
223,223,0,802,ffe,802,ffe,795,-349,1,1,1,1
224,224,0,802,ffe,802,ffe,2047,716,1,1,1,1
225,225,0,002,802,002,802,1327,1086,1,1,1,1
226,226,0,002,802,002,802,85,706,1,1,1,1
227,227,0,7fe,002,7fe,002,-650,-86,1,1,1,1
228,228,0,ffe,7fe,ffe,7fe,-1467,-947,1,1,1,1
229,229,0,ffe,7fe,ffe,7fe,-1297,-1296,1,1,1,1
230,230,0,7fe,002,7fe,002,786,-330,1,1,1,1
231,231,0,7fe,002,7fe,002,2047,719,1,1,1,1
232,232,0,ffe,7fe,ffe,7fe,1350,1120,1,1,1,1
233,233,0,ffe,7fe,ffe,7fe,85,661,1,1,1,1
234,234,0,802,ffe,802,ffe,-733,65,1,1,1,1
235,235,0,802,ffe,802,ffe,-1240,-4,1,1,1,1
236,236,0,002,802,002,802,-1437,-703,1,1,1,1
237,237,0,002,802,002,802,-1208,-1327,1,1,1,1
238,238,0,7fe,002,7fe,002,788,-329,1,1,1,1
239,239,0,7fe,002,7fe,002,2047,707,1,1,1,1
240,240,0,ffe,7fe,ffe,7fe,1314,1093,1,1,1,1
241,241,0,ffe,7fe,ffe,7fe,137,678,1,1,1,1
242,242,0,802,ffe,802,ffe,-659,-74,1,1,1,1
243,243,0,002,802,002,802,-1454,-943,1,1,1,1
244,244,0,002,802,002,802,-1556,-1316,1,1,1,1
245,245,0,7fe,002,7fe,002,-1235,-331,1,1,1,1
246,246,0,7fe,002,7fe,002,-1096,348,1,1,1,1
247,247,0,ffe,7fe,ffe,7fe,-1364,-631,1,1,1,1
248,248,0,ffe,7fe,ffe,7fe,-1235,-1369,1,1,1,1
249,249,0,802,ffe,802,ffe,730,-349,1,1,1,1
250,250,0,802,ffe,802,ffe,2047,727,1,1,1,1
251,251,0,002,802,002,802,1362,1109,1,1,1,1
252,252,0,002,802,002,802,69,662,1,1,1,1
253,253,0,7fe,002,7fe,002,-694,63,1,1,1,1
254,254,0,7fe,002,7fe,002,-1205,-12,1,1,1,1
255,255,0,ffe,7fe,ffe,7fe,-1479,-707,1,1,1,1
256,256,0,ffe,7fe,ffe,7fe,-1173,-1347,1,1,1,1
257,257,0,802,ffe,802,ffe,618,-175,1,1,1,1
258,258,0,002,802,002,802,1452,1370,1,1,1,1
259,259,0,002,802,002,802,364,899,1,1,1,1
260,260,0,802,ffe,802,ffe,-766,-7,1,1,1,1
261,261,0,802,ffe,802,ffe,-1252,-55,1,1,1,1
262,262,0,002,802,002,802,-1459,-692,1,1,1,1
263,263,0,002,802,002,802,-1169,-1300,1,1,1,1
264,264,0,7fe,002,7fe,002,752,-370,1,1,1,1
265,265,0,7fe,002,7fe,002,2047,699,1,1,1,1
266,266,0,ffe,7fe,ffe,7fe,1360,1118,1,1,1,1
267,267,0,ffe,7fe,ffe,7fe,60,653,1,1,1,1
268,268,0,802,ffe,802,ffe,-704,64,1,1,1,1
269,269,0,802,ffe,802,ffe,-1180,-36,1,1,1,1
270,270,0,002,802,002,802,-1462,-690,1,1,1,1
271,271,0,002,802,002,802,-1190,-1346,1,1,1,1
272,272,0,7fe,002,7fe,002,644,-190,1,1,1,1
273,273,0,ffe,7fe,ffe,7fe,1486,1385,1,1,1,1
274,274,0,ffe,7fe,ffe,7fe,606,806,1,1,1,1
275,275,0,802,ffe,802,ffe,1231,-608,1,1,1,1
276,276,0,802,ffe,802,ffe,2047,-203,1,1,1,1
277,277,0,002,802,002,802,1278,1077,1,1,1,1
278,278,0,002,802,002,802,126,818,1,1,1,1
279,279,0,7fe,002,7fe,002,-694,64,1,1,1,1
280,280,0,7fe,002,7fe,002,-1255,-82,1,1,1,1
281,281,0,ffe,7fe,ffe,7fe,-1463,-689,1,1,1,1
282,282,0,ffe,7fe,ffe,7fe,-1191,-1285,1,1,1,1
283,283,0,802,ffe,802,ffe,782,-378,1,1,1,1
284,284,0,802,ffe,802,ffe,2047,718,1,1,1,1
285,285,0,002,802,002,802,1337,1099,1,1,1,1
286,286,0,002,802,002,802,79,659,1,1,1,1
287,287,0,7fe,002,7fe,002,-652,-66,1,1,1,1
288,288,0,ffe,7fe,ffe,7fe,-1459,-919,1,1,1,1
289,289,0,ffe,7fe,ffe,7fe,-1303,-1319,1,1,1,1
290,290,0,7fe,002,7fe,002,787,-328,1,1,1,1
291,291,0,7fe,002,7fe,002,2047,728,1,1,1,1
292,292,0,ffe,7fe,ffe,7fe,1333,1083,1,1,1,1
293,293,0,ffe,7fe,ffe,7fe,69,666,1,1,1,1
294,294,0,802,ffe,802,ffe,-687,96,1,1,1,1
295,295,0,802,ffe,802,ffe,-1220,-61,1,1,1,1
296,296,0,002,802,002,802,-1475,-735,1,1,1,1
297,297,0,002,802,002,802,-1164,-1297,1,1,1,1
298,298,0,7fe,002,7fe,002,761,-362,1,1,1,1
299,299,0,7fe,002,7fe,002,2047,724,1,1,1,1
300,300,0,ffe,7fe,ffe,7fe,1358,1099,1,1,1,1
301,301,0,ffe,7fe,ffe,7fe,109,666,1,1,1,1
302,302,0,802,ffe,802,ffe,-678,-77,1,1,1,1
303,303,0,002,802,002,802,-1437,-906,1,1,1,1
304,304,0,002,802,002,802,-1564,-1342,1,1,1,1
305,305,0,7fe,002,7fe,002,-1256,-311,1,1,1,1
306,306,0,7fe,002,7fe,002,-1063,364,1,1,1,1
307,307,0,ffe,7fe,ffe,7fe,-1405,-628,1,1,1,1
308,308,0,ffe,7fe,ffe,7fe,-1257,-1413,1,1,1,1
309,309,0,802,ffe,802,ffe,785,-341,1,1,1,1
310,310,0,802,ffe,802,ffe,2047,726,1,1,1,1
311,311,0,002,802,002,802,1344,1082,1,1,1,1
312,312,0,002,802,002,802,71,656,1,1,1,1
313,313,0,7fe,002,7fe,002,-701,87,1,1,1,1
314,314,0,7fe,002,7fe,002,-1247,-36,1,1,1,1
315,315,0,ffe,7fe,ffe,7fe,-1453,-688,1,1,1,1
316,316,0,ffe,7fe,ffe,7fe,-1175,-1351,1,1,1,1
317,317,0,802,ffe,802,ffe,605,-172,1,1,1,1
318,318,0,002,802,002,802,1490,1373,1,1,1,1
319,319,0,002,802,002,802,335,899,1,1,1,1
320,320,0,802,ffe,802,ffe,-767,-40,1,1,1,1
321,321,0,802,ffe,802,ffe,-1267,-52,1,1,1,1
322,322,0,002,802,002,802,-1431,-659,1,1,1,1
323,323,0,002,802,002,802,-1175,-1327,1,1,1,1
324,324,0,7fe,002,7fe,002,774,-343,1,1,1,1
325,325,0,7fe,002,7fe,002,2047,701,1,1,1,1
326,326,0,ffe,7fe,ffe,7fe,1322,1083,1,1,1,1
327,327,0,ffe,7fe,ffe,7fe,70,675,1,1,1,1
328,328,0,802,ffe,802,ffe,-672,60,1,1,1,1
329,329,0,802,ffe,802,ffe,-1231,-38,1,1,1,1
330,330,0,002,802,002,802,-1459,-699,1,1,1,1
331,331,0,002,802,002,802,-1197,-1346,1,1,1,1
332,332,0,7fe,002,7fe,002,619,-179,1,1,1,1
333,333,0,ffe,7fe,ffe,7fe,1487,1358,1,1,1,1
334,334,0,ffe,7fe,ffe,7fe,600,826,1,1,1,1
335,335,0,802,ffe,802,ffe,1216,-593,1,1,1,1
336,336,0,802,ffe,802,ffe,2047,-229,1,1,1,1
337,337,0,002,802,002,802,1311,1106,1,1,1,1
338,338,0,002,802,002,802,123,811,1,1,1,1
339,339,0,7fe,002,7fe,002,-692,39,1,1,1,1
340,340,0,7fe,002,7fe,002,-1210,-29,1,1,1,1
341,341,0,ffe,7fe,ffe,7fe,-1470,-704,1,1,1,1
342,342,0,ffe,7fe,ffe,7fe,-1189,-1316,1,1,1,1
343,343,0,802,ffe,802,ffe,786,-369,1,1,1,1
344,344,0,802,ffe,802,ffe,2047,717,1,1,1,1
345,345,0,002,802,002,802,1334,1107,1,1,1,1
346,346,0,002,802,002,802,85,685,1,1,1,1
347,347,0,7fe,002,7fe,002,-652,-62,1,1,1,1
348,348,0,ffe,7fe,ffe,7fe,-1496,-923,1,1,1,1
349,349,0,ffe,7fe,ffe,7fe,-1289,-1327,1,1,1,1
350,350,0,802,ffe,802,ffe,773,-320,1,1,1,1
351,351,0,802,ffe,802,ffe,2047,738,1,1,1,1
352,352,0,002,802,002,802,1361,1075,1,1,1,1
353,353,0,002,802,002,802,63,664,1,1,1,1
354,354,0,7fe,002,7fe,002,-683,73,1,1,1,1
355,355,0,7fe,002,7fe,002,-1196,-27,1,1,1,1
356,356,0,ffe,7fe,ffe,7fe,-1457,-702,1,1,1,1
357,357,0,ffe,7fe,ffe,7fe,-1182,-1326,1,1,1,1
358,358,0,802,ffe,802,ffe,778,-361,1,1,1,1
359,359,0,802,ffe,802,ffe,2047,746,1,1,1,1
360,360,0,002,802,002,802,1343,1107,1,1,1,1
361,361,0,002,802,002,802,115,681,1,1,1,1
362,362,0,7fe,002,7fe,002,-692,-60,1,1,1,1
363,363,0,ffe,7fe,ffe,7fe,-1430,-918,1,1,1,1
364,364,0,ffe,7fe,ffe,7fe,-1568,-1344,1,1,1,1
365,365,0,802,ffe,802,ffe,-1246,-332,1,1,1,1
366,366,0,802,ffe,802,ffe,-1076,345,1,1,1,1
367,367,0,002,802,002,802,-1352,-628,1,1,1,1
368,368,0,002,802,002,802,-1235,-1410,1,1,1,1
369,369,0,7fe,002,7fe,002,757,-356,1,1,1,1
370,370,0,7fe,002,7fe,002,2047,751,1,1,1,1
371,371,0,ffe,7fe,ffe,7fe,1334,1112,1,1,1,1
372,372,0,ffe,7fe,ffe,7fe,60,671,1,1,1,1
373,373,0,802,ffe,802,ffe,-675,89,1,1,1,1
374,374,0,802,ffe,802,ffe,-1231,-48,1,1,1,1
375,375,0,002,802,002,802,-1459,-696,1,1,1,1
376,376,0,002,802,002,802,-1174,-1358,1,1,1,1
377,377,0,7fe,002,7fe,002,620,-172,1,1,1,1
378,378,0,ffe,7fe,ffe,7fe,1484,1356,1,1,1,1
379,379,0,ffe,7fe,ffe,7fe,357,907,1,1,1,1
380,380,0,7fe,002,7fe,002,-770,-26,1,1,1,1
381,381,0,7fe,002,7fe,002,-1252,-54,1,1,1,1
382,382,0,ffe,7fe,ffe,7fe,-1435,-676,1,1,1,1
383,383,0,ffe,7fe,ffe,7fe,-1202,-1301,1,1,1,1
384,384,0,802,ffe,802,ffe,771,-371,1,1,1,1
385,385,0,802,ffe,802,ffe,2047,741,1,1,1,1
386,386,0,002,802,002,802,1338,1126,1,1,1,1
387,387,0,002,802,002,802,47,661,1,1,1,1
388,388,0,7fe,002,7fe,002,-689,89,1,1,1,1
389,389,0,7fe,002,7fe,002,-1190,-43,1,1,1,1
390,390,0,ffe,7fe,ffe,7fe,-1481,-706,1,1,1,1
391,391,0,ffe,7fe,ffe,7fe,-1177,-1328,1,1,1,1
392,392,0,802,ffe,802,ffe,633,-188,1,1,1,1
393,393,0,002,802,002,802,1476,1372,1,1,1,1
394,394,0,002,802,002,802,354,898,1,1,1,1
395,395,0,7fe,002,7fe,002,-773,4,1,1,1,1
396,396,0,7fe,002,7fe,002,-1269,-60,1,1,1,1
397,397,0,ffe,7fe,ffe,7fe,-1427,-665,1,1,1,1
398,398,0,ffe,7fe,ffe,7fe,-1163,-1317,1,1,1,1
399,399,0,802,ffe,802,ffe,755,-356,1,1,1,1
400,400,0,802,ffe,802,ffe,2047,742,1,1,1,1
401,401,0,002,802,002,802,1347,1143,1,1,1,1
402,402,0,002,802,002,802,74,626,1,1,1,1
403,403,0,7fe,002,7fe,002,-682,68,1,1,1,1
404,404,0,7fe,002,7fe,002,-1222,-20,1,1,1,1
405,405,0,ffe,7fe,ffe,7fe,-1483,-694,1,1,1,1
406,406,0,ffe,7fe,ffe,7fe,-1190,-1341,1,1,1,1
407,407,0,802,ffe,802,ffe,672,-192,1,1,1,1
408,408,0,002,802,002,802,1467,1367,1,1,1,1
409,409,0,002,802,002,802,339,913,1,1,1,1
410,410,0,802,ffe,802,ffe,-747,-10,1,1,1,1
411,411,0,802,ffe,802,ffe,-1263,-52,1,1,1,1
412,412,0,002,802,002,802,-1427,-692,1,1,1,1
413,413,0,002,802,002,802,-1193,-1304,1,1,1,1
414,414,0,7fe,002,7fe,002,747,-338,1,1,1,1
415,415,0,7fe,002,7fe,002,2047,718,1,1,1,1
416,416,0,ffe,7fe,ffe,7fe,1336,1139,1,1,1,1
417,417,0,ffe,7fe,ffe,7fe,92,651,1,1,1,1
418,418,0,802,ffe,802,ffe,-710,54,1,1,1,1
419,419,0,802,ffe,802,ffe,-1196,-16,1,1,1,1
420,420,0,002,802,002,802,-1472,-704,1,1,1,1
421,421,0,002,802,002,802,-1221,-1341,1,1,1,1
422,422,0,7fe,002,7fe,002,675,-196,1,1,1,1
423,423,0,ffe,7fe,ffe,7fe,1477,1380,1,1,1,1
424,424,0,ffe,7fe,ffe,7fe,594,789,1,1,1,1
425,425,0,802,ffe,802,ffe,1192,-843,1,1,1,1
426,426,0,802,ffe,802,ffe,2047,-398,1,1,1,1
427,427,0,002,802,002,802,1311,1070,1,1,1,1
428,428,0,002,802,002,802,134,872,1,1,1,1
429,429,0,7fe,002,7fe,002,-705,50,1,1,1,1
430,430,0,7fe,002,7fe,002,-1248,-67,1,1,1,1
431,431,0,ffe,7fe,ffe,7fe,-1433,-702,1,1,1,1
