Sample in Buffer,Sample in Window,TRIGGER,tsm_I_1[11:0],tsm_Q_1[11:0],tsm_I[11:0],tsm_Q[11:0],rev_I[11:0],rev_Q[11:0],rev_valid_1,rev_valid_2,rev_valid_3,rev_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX
6438,6438,0,802,ffe,802,ffe,-1171,-1339,1,1,1,1
6439,6439,0,802,ffe,802,ffe,767,-337,1,1,1,1
6440,6440,0,002,802,002,802,2047,712,1,1,1,1
6441,6441,0,002,802,002,802,1311,1102,1,1,1,1
6442,6442,0,7fe,002,7fe,002,362,581,1,1,1,1
6443,6443,0,7fe,002,7fe,002,1273,-490,1,1,1,1
6444,6444,0,ffe,7fe,ffe,7fe,2047,-196,1,1,1,1
6445,6445,0,ffe,7fe,ffe,7fe,1303,1071,1,1,1,1
6446,6446,0,802,ffe,802,ffe,138,843,1,1,1,1
6447,6447,0,802,ffe,802,ffe,-688,34,1,1,1,1
6448,6448,0,002,802,002,802,-1206,-50,1,1,1,1
6449,6449,0,002,802,002,802,-1427,-699,1,1,1,1
6450,6450,0,7fe,002,7fe,002,-1163,-1335,1,1,1,1
6451,6451,0,7fe,002,7fe,002,770,-357,1,1,1,1
6452,6452,0,ffe,7fe,ffe,7fe,2047,727,1,1,1,1
6453,6453,0,ffe,7fe,ffe,7fe,1297,1098,1,1,1,1
6454,6454,0,802,ffe,802,ffe,74,649,1,1,1,1
6455,6455,0,802,ffe,802,ffe,-668,77,1,1,1,1
6456,6456,0,002,802,002,802,-1200,-35,1,1,1,1
6457,6457,0,002,802,002,802,-1398,-723,1,1,1,1
6458,6458,0,7fe,002,7fe,002,-1156,-1305,1,1,1,1
6459,6459,0,7fe,002,7fe,002,756,-370,1,1,1,1
6460,6460,0,ffe,7fe,ffe,7fe,2047,722,1,1,1,1
6461,6461,0,ffe,7fe,ffe,7fe,1314,1131,1,1,1,1
6462,6462,0,7fe,002,7fe,002,58,673,1,1,1,1
6463,6463,0,7fe,002,7fe,002,-679,47,1,1,1,1
6464,6464,0,ffe,7fe,ffe,7fe,-1190,-28,1,1,1,1
6465,6465,0,ffe,7fe,ffe,7fe,-1426,-712,1,1,1,1
6466,6466,0,802,ffe,802,ffe,-1163,-1320,1,1,1,1
6467,6467,0,802,ffe,802,ffe,757,-346,1,1,1,1
6468,6468,0,002,802,002,802,2047,716,1,1,1,1
6469,6469,0,002,802,002,802,1338,1097,1,1,1,1
6470,6470,0,7fe,002,7fe,002,91,660,1,1,1,1
6471,6471,0,7fe,002,7fe,002,-672,69,1,1,1,1
6472,6472,0,ffe,7fe,ffe,7fe,-1226,-35,1,1,1,1
6473,6473,0,ffe,7fe,ffe,7fe,-1375,-703,1,1,1,1
6474,6474,0,802,ffe,802,ffe,-1438,-1325,1,1,1,1
6475,6475,0,802,ffe,802,ffe,-1253,-344,1,1,1,1
6476,6476,0,002,802,002,802,-1081,376,1,1,1,1
6477,6477,0,002,802,002,802,-1337,-628,1,1,1,1
6478,6478,0,7fe,002,7fe,002,-1221,-1423,1,1,1,1
6479,6479,0,7fe,002,7fe,002,778,-368,1,1,1,1
6480,6480,0,ffe,7fe,ffe,7fe,2047,737,1,1,1,1
6481,6481,0,ffe,7fe,ffe,7fe,1305,1130,1,1,1,1
6482,6482,0,802,ffe,802,ffe,89,685,1,1,1,1
6483,6483,0,802,ffe,802,ffe,-653,62,1,1,1,1
6484,6484,0,002,802,002,802,-1206,-29,1,1,1,1
6485,6485,0,002,802,002,802,-1416,-701,1,1,1,1
6486,6486,0,7fe,002,7fe,002,-1168,-1327,1,1,1,1
6487,6487,0,7fe,002,7fe,002,776,-363,1,1,1,1
6488,6488,0,ffe,7fe,ffe,7fe,2047,723,1,1,1,1
6489,6489,0,ffe,7fe,ffe,7fe,1320,1115,1,1,1,1
6490,6490,0,802,ffe,802,ffe,76,677,1,1,1,1
6491,6491,0,802,ffe,802,ffe,-666,83,1,1,1,1
6492,6492,0,002,802,002,802,-1197,-42,1,1,1,1
6493,6493,0,002,802,002,802,-1417,-744,1,1,1,1
6494,6494,0,802,ffe,802,ffe,-1168,-1307,1,1,1,1
6495,6495,0,802,ffe,802,ffe,773,-352,1,1,1,1
6496,6496,0,002,802,002,802,2047,709,1,1,1,1
6497,6497,0,002,802,002,802,1345,1101,1,1,1,1
6498,6498,0,7fe,002,7fe,002,82,660,1,1,1,1
6499,6499,0,7fe,002,7fe,002,-676,69,1,1,1,1
6500,6500,0,ffe,7fe,ffe,7fe,-1196,-30,1,1,1,1
6501,6501,0,ffe,7fe,ffe,7fe,-1415,-700,1,1,1,1
6502,6502,0,802,ffe,802,ffe,-1159,-1329,1,1,1,1
6503,6503,0,802,ffe,802,ffe,759,-338,1,1,1,1
6504,6504,0,002,802,002,802,2047,711,1,1,1,1
6505,6505,0,002,802,002,802,1332,1119,1,1,1,1
6506,6506,0,7fe,002,7fe,002,373,568,1,1,1,1
6507,6507,0,7fe,002,7fe,002,1305,-503,1,1,1,1
